dict_matched_filtered_words,sentence,cleaned_sentence,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
becoming,"These have been
identified as essential tools for leamers to succeed in todays globalised world that is becoming
increasingly interconnected.",These have been identified as essential tools for leamers to succeed in todays globalised world that is becoming increasingly interconnected,todays globalised world that is becoming increasingly interconnected,Todays globalised world that is ******** increasingly interconnected,,,,
language,"They slither, af

ee i th aS a x6

CONCEPTS 9

explained in lucid language,
supported with accurate
illustrations/photographs

COMPETENCY-BASED ASSESSMENTS

test higher-order skills, such as analysing,
Critical thinking, and conceptual clarity

ART-INTEGRATED
LEARNING

to promote learning and development, and

DIGITAL ASSETS

digital assets embedded to
promote blended learning

6 BirdsOur

nests how bards Oy

Feathered Friends

[uesson scuema F /
: Gflerert birds around va body pws
/



LEARNING OUTCOMES

At the end of this lesson, the learners will be able tor

© state where birds live.",They slither af  ee i th aS a x6  CONCEPTS 9  explained in lucid language supported with accurate illustrationsphotographs  COMPETENCYBASED ASSESSMENTS  test higherorder skills such as analysing Critical thinking and conceptual clarity  ARTINTEGRATED LEARNING  to promote learning and development and  DIGITAL ASSETS  digital assets embedded to promote blended learning  6 BirdsOur  nests how bards Oy  Feathered Friends  uesson scuema F   Gflerert birds around va body pws     LEARNING OUTCOMES  At the end of this lesson the learners will be able tor   state where birds live,concepts 9 explained in lucid language supported with accurate illustrationsphotographs,Concepts 9 explained in lucid ******** supported with accurate illustrationsphotographs,,,,
sit,"https://mee.macmillaneducation.com/

Col = Beaks of beds
body Pats of Bled i} Gaz a
et ar reat dy a SIT a mtn immry oe

orm = es



Page nummber: 2
_ CHAPTER

| "" UNIT
Unit | pyiBody
The Human Body
The Food We Eat

Unit Il Pay: a :
we World Around Us.|>: Living and Non-Living Things 35
4.",httpsmeemacmillaneducationcom  Col  Beaks of beds body Pats of Bled i Gaz a et ar reat dy a SIT a mtn immry oe  orm  es    Page nummber 2  CHAPTER    UNIT Unit  pyiBody The Human Body The Food We Eat  Unit Il Pay a  we World Around Us Living and NonLiving Things 35 4,et ar reat dy a sit a mtn immry oe,Et ar reat dy a *** a mtn immry oe,,,,
conceptual,"They slither, af

ee i th aS a x6

CONCEPTS 9

explained in lucid language,
supported with accurate
illustrations/photographs

COMPETENCY-BASED ASSESSMENTS

test higher-order skills, such as analysing,
Critical thinking, and conceptual clarity

ART-INTEGRATED
LEARNING

to promote learning and development, and

DIGITAL ASSETS

digital assets embedded to
promote blended learning

6 BirdsOur

nests how bards Oy

Feathered Friends

[uesson scuema F /
: Gflerert birds around va body pws
/



LEARNING OUTCOMES

At the end of this lesson, the learners will be able tor

© state where birds live.",They slither af  ee i th aS a x6  CONCEPTS 9  explained in lucid language supported with accurate illustrationsphotographs  COMPETENCYBASED ASSESSMENTS  test higherorder skills such as analysing Critical thinking and conceptual clarity  ARTINTEGRATED LEARNING  to promote learning and development and  DIGITAL ASSETS  digital assets embedded to promote blended learning  6 BirdsOur  nests how bards Oy  Feathered Friends  uesson scuema F   Gflerert birds around va body pws     LEARNING OUTCOMES  At the end of this lesson the learners will be able tor   state where birds live,as analysing critical thinking and conceptual clarity artintegrated learning to,As analysing critical thinking and ********** clarity artintegrated learning to,,,,
turns,"Wait till the light
turns green... Rules are
for our safety.",Wait till the light turns green Rules are for our safety,wait till the light turns green rules are for,Wait till the light ***** green rules are for,,,,
also,"We can also run, hop and skip.",We can also run hop and skip,we can also run hop and skip,We can **** run hop and skip,,,,
place,"Awad crows

Can plants move from one place to another?",Awad crows  Can plants move from one place to another,can plants move from one place to another,Can plants move from one ***** to another,,,,
replace,"r- ;
Sn OS ubuntu

Technology cannot replace the teacher, but a teacher with the right technical tools can do wonders in the
class.",r  Sn OS ubuntu  Technology cannot replace the teacher but a teacher with the right technical tools can do wonders in the class,sn os ubuntu technology cannot replace the teacher but a,Sn os ubuntu technology cannot ******* the teacher but a,,,,
century,"Talk | lst CENTURY
Take a glass of frutt | 1 Prccaovana ery | The word arimal comes bom 2 Lain word, avwmalty, whuch
 Butterflies have long, thin and Duce.",Talk  lst CENTURY Take a glass of frutt  1 Prccaovana ery  The word arimal comes bom 2 Lain word avwmalty whuch  Butterflies have long thin and Duce,talk lst century take a glass of,Talk lst ******* take a glass of,,,,
critical,"They slither, af

ee i th aS a x6

CONCEPTS 9

explained in lucid language,
supported with accurate
illustrations/photographs

COMPETENCY-BASED ASSESSMENTS

test higher-order skills, such as analysing,
Critical thinking, and conceptual clarity

ART-INTEGRATED
LEARNING

to promote learning and development, and

DIGITAL ASSETS

digital assets embedded to
promote blended learning

6 BirdsOur

nests how bards Oy

Feathered Friends

[uesson scuema F /
: Gflerert birds around va body pws
/



LEARNING OUTCOMES

At the end of this lesson, the learners will be able tor

© state where birds live.",They slither af  ee i th aS a x6  CONCEPTS 9  explained in lucid language supported with accurate illustrationsphotographs  COMPETENCYBASED ASSESSMENTS  test higherorder skills such as analysing Critical thinking and conceptual clarity  ARTINTEGRATED LEARNING  to promote learning and development and  DIGITAL ASSETS  digital assets embedded to promote blended learning  6 BirdsOur  nests how bards Oy  Feathered Friends  uesson scuema F   Gflerert birds around va body pws     LEARNING OUTCOMES  At the end of this lesson the learners will be able tor   state where birds live,higherorder skills such as analysing critical thinking and conceptual clarity,Higherorder skills such as analysing ******** thinking and conceptual clarity,,,,
ever,Have you ever pizyed hopscotch?,Have you ever pizyed hopscotch,have you ever pizyed hopscotch,Have you **** pizyed hopscotch,,,,
useful,"food pipe The process by which food is broken
down into simple, useful substances
that can be used by the body is called
digestion.",food pipe The process by which food is broken down into simple useful substances that can be used by the body is called digestion,is broken down into simple useful substances that can be,Is broken down into simple ****** substances that can be,,,,
em,"GE 2 oS ee

ete eee ee we eM we ee ee ee
w~eenwewe ewww ewe eee


Page nummber: 16
Taking Care of the Body and Self
It is important to follow certain habits to keep the parts of our bodies healthy.",GE 2 oS ee  ete eee ee we eM we ee ee ee weenwewe ewww ewe eee   Page nummber 16 Taking Care of the Body and Self It is important to follow certain habits to keep the parts of our bodies healthy,ee ete eee ee we em we ee ee ee,Ee ete eee ee we ** we ee ee ee,,,,
among,"bo eaten | * Make mixed frult salad corract option
raw }¢ Sabet about roughage + Comprehension questions
* Food audit + HOTS
Do It yoursalf; Kiteh d
: bal alla Virtual tour Healthy and junkfood
UNITY CLT Qieevee aid Kbondifieg plante in tho eqronnent * Charactaristics of | + Sort things into groups * Describe |* Fillin the flow chart
XL Living end O41 Observes ad dissorties divernity among plants and animals in the living things * Make a cucumber salad movement * Choose the correct word to
Noniving environment |» Comparison of [+ Observe the process of breathing In an complete each sentence
Tringe living and non- | * Compare pictures of oneself animal + Fill ln the blanks
ORIKNE-MOO-B ving things * Understand movement * Comprehension questions
+ Understand response to stimuli + HOTS
| + List the young ones of animals _ pad
UNIT it O11 Observes and Kentiiies animals in the environment |* Roots, stem, * Classify plants into different types + Role-play * Choose the correct option =
4 Pamote O13 Asks questions and makes predictions about simple pattems such as | flowers, fruits and |* Draw a plant about the « Label the parts of a plant
Pant erengonert fv, formation of rats fom flowers and peminaon | seedehnclone |: {derstand the functions of roots | importance of |+ Sequencing
eo} > + v i
CO-1HS-203-4 relies ae Stans * Picture-based task about the stem Mech Identify the type of plant
OOH O21 Kientiies the parts of plants thal are eaten as food .",bo eaten   Make mixed frult salad corract option raw  Sabet about roughage  Comprehension questions  Food audit  HOTS Do It yoursalf Kiteh d  bal alla Virtual tour Healthy and junkfood UNITY CLT Qieevee aid Kbondifieg plante in tho eqronnent  Charactaristics of   Sort things into groups  Describe  Fillin the flow chart XL Living end O41 Observes ad dissorties divernity among plants and animals in the living things  Make a cucumber salad movement  Choose the correct word to Noniving environment  Comparison of  Observe the process of breathing In an complete each sentence Tringe living and non   Compare pictures of oneself animal  Fill ln the blanks ORIKNEMOOB ving things  Understand movement  Comprehension questions  Understand response to stimuli  HOTS   List the young ones of animals  pad UNIT it O11 Observes and Kentiiies animals in the environment  Roots stem  Classify plants into different types  Roleplay  Choose the correct option  4 Pamote O13 Asks questions and makes predictions about simple pattems such as  flowers fruits and  Draw a plant about the  Label the parts of a plant Pant erengonert fv formation of rats fom flowers and peminaon  seedehnclone  derstand the functions of roots  importance of  Sequencing eo   v i CO1HS2034 relies ae Stans  Picturebased task about the stem Mech Identify the type of plant OOH O21 Kientiies the parts of plants thal are eaten as food ,o41 observes ad dissorties divernity among plants and animals in,O41 observes ad dissorties divernity ***** plants and animals in,,,,
close,"The leaves of a
touch-me-not plant close when touched.",The leaves of a touchmenot plant close when touched,leaves of a touchmenot plant close when touched,Leaves of a touchmenot plant ***** when touched,,,,
leaf,"Name the parts of a leaf + HOTS
©-6.2 Presents observations and findings through different creative modes + Leam about venation | |
+ Know the functions of a seed |
oe te ce | Do it yourself: Border design
fos fal Observes | and identifies the natural components in the environment * Food of animals |+ Analyse ones breakfast + Explainhow | + Choose the words to fill in the
C-1.5 Uses talien leaves to create leaf art and ways of + Read and answer the questions some animals | _ blanks
C41 Observes and desoribes diversity among animals in the environment eating + Unscramble the letters | suck their |* Choose the correct option
+ Picture-based task on omnivores food + Read and correct the errors
+ Picture-based task on the different © Think and weit
ways by which animals eat food | ae Le 
+ Infer biting as the first action of eating food | spa) quesaops
Do it yourself: Leaf art [i
C-1.1 Observes and identifies birds in the environment * Body parts * Draw/Paste a picture of a bird |+ Talk about a \+ True or false
C-3.1_ Desoribes the basic safety needs and protection of birds * How do birds fly?",Name the parts of a leaf  HOTS 62 Presents observations and findings through different creative modes  Leam about venation    Know the functions of a seed  oe te ce  Do it yourself Border design fos fal Observes  and identifies the natural components in the environment  Food of animals  Analyse ones breakfast  Explainhow   Choose the words to fill in the C15 Uses talien leaves to create leaf art and ways of  Read and answer the questions some animals   blanks C41 Observes and desoribes diversity among animals in the environment eating  Unscramble the letters  suck their  Choose the correct option  Picturebased task on omnivores food  Read and correct the errors  Picturebased task on the different  Think and weit ways by which animals eat food  ae Le   Infer biting as the first action of eating food  spa quesaops Do it yourself Leaf art i C11 Observes and identifies birds in the environment  Body parts  DrawPaste a picture of a bird  Talk about a  True or false C31 Desoribes the basic safety needs and protection of birds  How do birds fly,name the parts of a leaf hots 62 presents observations,Name the parts of a **** hots 62 presents observations,,,,
safety,"Name the parts of a leaf + HOTS
©-6.2 Presents observations and findings through different creative modes + Leam about venation | |
+ Know the functions of a seed |
oe te ce | Do it yourself: Border design
fos fal Observes | and identifies the natural components in the environment * Food of animals |+ Analyse ones breakfast + Explainhow | + Choose the words to fill in the
C-1.5 Uses talien leaves to create leaf art and ways of + Read and answer the questions some animals | _ blanks
C41 Observes and desoribes diversity among animals in the environment eating + Unscramble the letters | suck their |* Choose the correct option
+ Picture-based task on omnivores food + Read and correct the errors
+ Picture-based task on the different © Think and weit
ways by which animals eat food | ae Le 
+ Infer biting as the first action of eating food | spa) quesaops
Do it yourself: Leaf art [i
C-1.1 Observes and identifies birds in the environment * Body parts * Draw/Paste a picture of a bird |+ Talk about a \+ True or false
C-3.1_ Desoribes the basic safety needs and protection of birds * How do birds fly?",Name the parts of a leaf  HOTS 62 Presents observations and findings through different creative modes  Leam about venation    Know the functions of a seed  oe te ce  Do it yourself Border design fos fal Observes  and identifies the natural components in the environment  Food of animals  Analyse ones breakfast  Explainhow   Choose the words to fill in the C15 Uses talien leaves to create leaf art and ways of  Read and answer the questions some animals   blanks C41 Observes and desoribes diversity among animals in the environment eating  Unscramble the letters  suck their  Choose the correct option  Picturebased task on omnivores food  Read and correct the errors  Picturebased task on the different  Think and weit ways by which animals eat food  ae Le   Infer biting as the first action of eating food  spa quesaops Do it yourself Leaf art i C11 Observes and identifies birds in the environment  Body parts  DrawPaste a picture of a bird  Talk about a  True or false C31 Desoribes the basic safety needs and protection of birds  How do birds fly,false c31 desoribes the basic safety needs and protection of,False c31 desoribes the basic ****** needs and protection of,,,,
these,"These include components like Animations, Teaching Videos, Warm-up
Activities, Cross-curricular Activities, Quizzes and Challenges for each chapter for learners selfpractice;
Test Generator for teachers to create Formative or Summative Assessments; Worksheets for every chapter,
Glossary, and much more.",These include components like Animations Teaching Videos Warmup Activities Crosscurricular Activities Quizzes and Challenges for each chapter for learners selfpractice Test Generator for teachers to create Formative or Summative Assessments Worksheets for every chapter Glossary and much more,these include components like animations,***** include components like animations,,,,
efficiently,"Geared towards K-12 education, MEE provides teachers with the ability to track learners progress, assign
them homework, assessments, grades, and manage the teaching-learning process efficiently and effectively.",Geared towards K12 education MEE provides teachers with the ability to track learners progress assign them homework assessments grades and manage the teachinglearning process efficiently and effectively,and manage the teachinglearning process efficiently and effectively,And manage the teachinglearning process *********** and effectively,,,,
eating,"Eating Habits of Animals 58

The World of

Plants and Animals |6.",Eating Habits of Animals 58  The World of  Plants and Animals 6,eating habits of animals 58,****** habits of animals 58,,,,
learning,"

Page nummber: 1
ABOUT Altura

Macmillan Education introduces you to a new world of blended learning, Altura = Advancing Learning
and Teaching Using Resources and Assessments, Offering a 360-degree holistic approach to education,
Altura combines smartly designed learning resources that are aligned to the latest National Curriculum
Framework for School Education, |tcomprisesarich suite of digital interactivities, along withacomprehensive
learning platform, with a range of options and strategies to successfully handle a lesson at hand.",  Page nummber 1 ABOUT Altura  Macmillan Education introduces you to a new world of blended learning Altura  Advancing Learning and Teaching Using Resources and Assessments Offering a 360degree holistic approach to education Altura combines smartly designed learning resources that are aligned to the latest National Curriculum Framework for School Education tcomprisesarich suite of digital interactivities along withacomprehensive learning platform with a range of options and strategies to successfully handle a lesson at hand,a new world of blended learning altura advancing learning and,A new world of blended ******** altura advancing ******** and,,,,
manage,"Geared towards K-12 education, MEE provides teachers with the ability to track learners progress, assign
them homework, assessments, grades, and manage the teaching-learning process efficiently and effectively.",Geared towards K12 education MEE provides teachers with the ability to track learners progress assign them homework assessments grades and manage the teachinglearning process efficiently and effectively,them homework assessments grades and manage the teachinglearning process efficiently,Them homework assessments grades and ****** the teachinglearning process efficiently,,,,
structure,"LEARNING OUTCOMES

At the end of this lesson, the learners will be able to:

> describe the structure of the human body.",LEARNING OUTCOMES  At the end of this lesson the learners will be able to   describe the structure of the human body,be able to describe the structure of the human body,Be able to describe the ********* of the human body,,,,
reason,"The house sparrow has been known to live in dose
contact with human deings, instead of foresta, For years,
Dy R has peace\sy coaxisted with us in our buldings and
Hy) Gardens, but in the last two decades, ther poputation has

assist learners understand
their strengths and

weaknesses, thereby take
remedial strategies to
improve learning

Page 159


Page nummber: 5
NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO
tducation 2024; Preparatory Stage

Chapter
Ke
Currioutat Compotoncion Cone ote Warm-up/Aativity Talk Exercises
Gaata
Ny (5-18 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer + Golveaa + Pillin the blanks
1 My aay {D4 Povmpotheane (hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly + Plead, understand and anawerqueationa | riddle |* Correct the slalements
CO HOON CR) Deere sterile: tahaaste: anne parnatinee can aatily peed pieetetiony + Organs and |* Maka two neckiacad from ona + Tick the corract reason
re CRD Pegnmeeerste: ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers + Solve the rddla * Comprahansion questions
 aren ree ie work |* Label the parts of the digestive
+ Spot the differances system
* Think and anawer * HOTS
Do it yourself Safaty
t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een * Components of |+ Pleture-based laak fo understand how | + Talk about + Pill in the blanks ""
We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food * Tick the corract option
UNS NS C2 eevee and clemorlten cuittural vnenity of food + Ralanced diet * Read a poem on proteing |+ Complete the table
> }+ Foods that + Test for tha praserice of fat + Read the case and tick the
| shoul!",The house sparrow has been known to live in dose contact with human deings instead of foresta For years Dy R has peacesy coaxisted with us in our buldings and Hy Gardens but in the last two decades ther poputation has  assist learners understand their strengths and  weaknesses thereby take remedial strategies to improve learning  Page 159   Page nummber 5 NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO tducation 2024 Preparatory Stage  Chapter Ke Currioutat Compotoncion Cone ote WarmupAativity Talk Exercises Gaata Ny 518 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer  Golveaa  Pillin the blanks 1 My aay D4 Povmpotheane hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly  Plead understand and anawerqueationa  riddle  Correct the slalements CO HOON CR Deere sterile tahaaste anne parnatinee can aatily peed pieetetiony  Organs and  Maka two neckiacad from ona  Tick the corract reason re CRD Pegnmeeerste ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers  Solve the rddla  Comprahansion questions  aren ree ie work  Label the parts of the digestive  Spot the differances system  Think and anawer  HOTS Do it yourself Safaty t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een  Components of  Pleturebased laak fo understand how   Talk about  Pill in the blanks  We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food  Tick the corract option UNS NS C2 eevee and clemorlten cuittural vnenity of food  Ralanced diet  Read a poem on proteing  Complete the table   Foods that  Test for tha praserice of fat  Read the case and tick the  shoul,from ona tick the corract reason re crd pegnmeeerste ettimeeesonrticnrnn,From ona tick the corract ****** re crd pegnmeeerste ettimeeesonrticnrnn,,,,
one,"Be it quizzes, assessments or
virtual classrooms, one can access them all irrespective of the location, with the secure mobile App available
for both Android and iOS devices, or on a Windows Laptop.",Be it quizzes assessments or virtual classrooms one can access them all irrespective of the location with the secure mobile App available for both Android and iOS devices or on a Windows Laptop,quizzes assessments or virtual classrooms one can access them all,Quizzes assessments or virtual classrooms *** can access them all,,,,
curriculum,"

Page nummber: 1
ABOUT Altura

Macmillan Education introduces you to a new world of blended learning, Altura = Advancing Learning
and Teaching Using Resources and Assessments, Offering a 360-degree holistic approach to education,
Altura combines smartly designed learning resources that are aligned to the latest National Curriculum
Framework for School Education, |tcomprisesarich suite of digital interactivities, along withacomprehensive
learning platform, with a range of options and strategies to successfully handle a lesson at hand.",  Page nummber 1 ABOUT Altura  Macmillan Education introduces you to a new world of blended learning Altura  Advancing Learning and Teaching Using Resources and Assessments Offering a 360degree holistic approach to education Altura combines smartly designed learning resources that are aligned to the latest National Curriculum Framework for School Education tcomprisesarich suite of digital interactivities along withacomprehensive learning platform with a range of options and strategies to successfully handle a lesson at hand,aligned to the latest national curriculum framework for school education,Aligned to the latest national ********** framework for school education,,,,
trip,"O db ro

Page 32

Katomtet

Did denagee are cemnoely ward wo diferent art fren Hew 0 an custint of 6
peacock im Kalembon, » popsla art form of Aniiry Prato aod Taenge
Kamhart 0 dome on come ot ah fara wath 4 Gamarind pen, ey sae

Refer to he teserect and find out more aut Kalen Ad @ Oe outiow
wth ot

¥



Page nummber: 4
They shoot out the tongue to trip hasecta Thea they Fod beck the tongue into i CROSS-CURRICUL AR PROJECT

the mouth and swallow the food.",O db ro  Page 32  Katomtet  Did denagee are cemnoely ward wo diferent art fren Hew 0 an custint of 6 peacock im Kalembon  popsla art form of Aniiry Prato aod Taenge Kamhart 0 dome on come ot ah fara wath 4 Gamarind pen ey sae  Refer to he teserect and find out more aut Kalen Ad  Oe outiow wth ot      Page nummber 4 They shoot out the tongue to trip hasecta Thea they Fod beck the tongue into i CROSSCURRICUL AR PROJECT  the mouth and swallow the food,shoot out the tongue to trip hasecta thea they fod,Shoot out the tongue to **** hasecta thea they fod,,,,
collaboration,"Problem-solving | 14, 48, 61, 86, 8891, 93
Evaluating 13, 37, 38, 39, 46, 50, 51, 62, 63, 68, 69, 75, 111, 115, 117, 118, 126, 135
10, 13, 16, 17, 23, 24, 26, 27, 28, 29, 34, 44, 46, 48, 60, 80, 82,
Analysing 88-91, 94, 105, 109, 110, 115, 117, 118, 119, 121, 125, 132, 133,
138, 139, 146, 150, 151
Critical Thinking aeeaG 5 6 2 a 61, 68, 69, 72, 86, 92, 106, 115, 118, 120, 121, 125,
| Applying | 10, 15, 16, 17, 102, 132, 133
; 23, 34, 44, 54, 57, 86, 88-91, 98, 103, 108, 116, 119, 124, 129, 133,
Reaconine ee 7, 86, 8891, 98, 103
Classifying | 35, 108, 125
| Identifying 9, 25, 36, 40, 45, 50, 74, 78, 108, 125, 141 E
en biatek 14, 23, 46, 57, 69, 70, 71, 72, 75, 82, 87, 88-91, 92, 101, 116, 120,
CiSELNIGY : 126, 127, 137, 140, 143, 151 ge
Collaboration 35, 39, 72, 71, 8891, 115
: 50, 71, 132, 133, 138, 139
Commune 16, 46, 50, 71, 129, 141 ; a
ton {listening and _| 13, 16, 24, 35, 36, 46, 54, 58, 70, 71.",Problemsolving  14 48 61 86 8891 93 Evaluating 13 37 38 39 46 50 51 62 63 68 69 75 111 115 117 118 126 135 10 13 16 17 23 24 26 27 28 29 34 44 46 48 60 80 82 Analysing 8891 94 105 109 110 115 117 118 119 121 125 132 133 138 139 146 150 151 Critical Thinking aeeaG 5 6 2 a 61 68 69 72 86 92 106 115 118 120 121 125  Applying  10 15 16 17 102 132 133  23 34 44 54 57 86 8891 98 103 108 116 119 124 129 133 Reaconine ee 7 86 8891 98 103 Classifying  35 108 125  Identifying 9 25 36 40 45 50 74 78 108 125 141 E en biatek 14 23 46 57 69 70 71 72 75 82 87 8891 92 101 116 120 CiSELNIGY  126 127 137 140 143 151 ge Collaboration 35 39 72 71 8891 115  50 71 132 133 138 139 Commune 16 46 50 71 129 141  a ton listening and  13 16 24 35 36 46 54 58 70 71,137 140 143 151 ge collaboration 35 39 72 71,137 140 143 151 ge ************* 35 39 72 71,,,,
saga,"Our Environment 140
Environment
Learning by Doing: Cross-curricular Project-1 Saga
(Animal Diaries) :
Learning by Doing: Cross-curricular Project-2 Ase 13
(Water: A Precious Treasure) :
Project-based Learning (Bring Back House Sparrows)
Assessment: Model Test Paper-1 152-154
Assessment: Model Test Paper-2 155-1517)
r

360-degree Holistic Progress Card (Comprehensive) 158-160



Page nummber: 3
LEARNING OUTCOMES

WARM-UP

interactive tasks to
engage learners ee

ACTIVITY

to aid in
experiential
learning

significant learning outcomes
that the learners will achieve
on completion of the lesson

Living Things Move o
| eran
; \Y/ eontiome
!",Our Environment 140 Environment Learning by Doing Crosscurricular Project1 Saga Animal Diaries  Learning by Doing Crosscurricular Project2 Ase 13 Water A Precious Treasure  Projectbased Learning Bring Back House Sparrows Assessment Model Test Paper1 152154 Assessment Model Test Paper2 1551517 r  360degree Holistic Progress Card Comprehensive 158160    Page nummber 3 LEARNING OUTCOMES  WARMUP  interactive tasks to engage learners ee  ACTIVITY  to aid in experiential learning  significant learning outcomes that the learners will achieve on completion of the lesson  Living Things Move o  eran  Y eontiome ,learning by doing crosscurricular project1 saga animal diaries learning by,Learning by doing crosscurricular project1 **** animal diaries learning by,,,,
hat,"infer the importance of nests © compare the body parts of a
| flghthess bird with a bird hat Men

(Werm-up)° Na eget nt 1 55 * Critical Tang Comensarication © CrewOvity >=
Draw or paste a picture
of a bird that you have
een.",infer the importance of nests  compare the body parts of a  flghthess bird with a bird hat Men  Wermup Na eget nt 1 55  Critical Tang Comensarication  CrewOvity  Draw or paste a picture of a bird that you have een,flghthess bird with a bird hat men wermup na eget,Flghthess bird with a bird *** men wermup na eget,,,,
net,"oe

¥

Pa

Do you know snakes Go net have Umbs?",oe    Pa  Do you know snakes Go net have Umbs,do you know snakes go net have umbs,Do you know snakes go *** have umbs,,,,
list,"bo eaten | * Make mixed frult salad corract option
raw }¢ Sabet about roughage + Comprehension questions
* Food audit + HOTS
Do It yoursalf; Kiteh d
: bal alla Virtual tour Healthy and junkfood
UNITY CLT Qieevee aid Kbondifieg plante in tho eqronnent * Charactaristics of | + Sort things into groups * Describe |* Fillin the flow chart
XL Living end O41 Observes ad dissorties divernity among plants and animals in the living things * Make a cucumber salad movement * Choose the correct word to
Noniving environment |» Comparison of [+ Observe the process of breathing In an complete each sentence
Tringe living and non- | * Compare pictures of oneself animal + Fill ln the blanks
ORIKNE-MOO-B ving things * Understand movement * Comprehension questions
+ Understand response to stimuli + HOTS
| + List the young ones of animals _ pad
UNIT it O11 Observes and Kentiiies animals in the environment |* Roots, stem, * Classify plants into different types + Role-play * Choose the correct option =
4 Pamote O13 Asks questions and makes predictions about simple pattems such as | flowers, fruits and |* Draw a plant about the « Label the parts of a plant
Pant erengonert fv, formation of rats fom flowers and peminaon | seedehnclone |: {derstand the functions of roots | importance of |+ Sequencing
eo} > + v i
CO-1HS-203-4 relies ae Stans * Picture-based task about the stem Mech Identify the type of plant
OOH O21 Kientiies the parts of plants thal are eaten as food .",bo eaten   Make mixed frult salad corract option raw  Sabet about roughage  Comprehension questions  Food audit  HOTS Do It yoursalf Kiteh d  bal alla Virtual tour Healthy and junkfood UNITY CLT Qieevee aid Kbondifieg plante in tho eqronnent  Charactaristics of   Sort things into groups  Describe  Fillin the flow chart XL Living end O41 Observes ad dissorties divernity among plants and animals in the living things  Make a cucumber salad movement  Choose the correct word to Noniving environment  Comparison of  Observe the process of breathing In an complete each sentence Tringe living and non   Compare pictures of oneself animal  Fill ln the blanks ORIKNEMOOB ving things  Understand movement  Comprehension questions  Understand response to stimuli  HOTS   List the young ones of animals  pad UNIT it O11 Observes and Kentiiies animals in the environment  Roots stem  Classify plants into different types  Roleplay  Choose the correct option  4 Pamote O13 Asks questions and makes predictions about simple pattems such as  flowers fruits and  Draw a plant about the  Label the parts of a plant Pant erengonert fv formation of rats fom flowers and peminaon  seedehnclone  derstand the functions of roots  importance of  Sequencing eo   v i CO1HS2034 relies ae Stans  Picturebased task about the stem Mech Identify the type of plant OOH O21 Kientiies the parts of plants thal are eaten as food ,understand response to stimuli hots list the young ones of,Understand response to stimuli hots **** the young ones of,,,,
not,"No, plants do not move from one place to another,
but the parts of a plant can move.",No plants do not move from one place to another but the parts of a plant can move,no plants do not move from one place,No plants do *** move from one place,,,,
usage,"iertand some ae of air everyday + Tick the correct answer
: C-4.3 Desoribes usage of natural resources in the environment + Prove that airs co examples of |.",iertand some ae of air everyday  Tick the correct answer  C43 Desoribes usage of natural resources in the environment  Prove that airs co examples of ,the correct answer c43 desoribes usage of natural resources in,The correct answer c43 desoribes ***** of natural resources in,,,,
framework,"

Page nummber: 1
ABOUT Altura

Macmillan Education introduces you to a new world of blended learning, Altura = Advancing Learning
and Teaching Using Resources and Assessments, Offering a 360-degree holistic approach to education,
Altura combines smartly designed learning resources that are aligned to the latest National Curriculum
Framework for School Education, |tcomprisesarich suite of digital interactivities, along withacomprehensive
learning platform, with a range of options and strategies to successfully handle a lesson at hand.",  Page nummber 1 ABOUT Altura  Macmillan Education introduces you to a new world of blended learning Altura  Advancing Learning and Teaching Using Resources and Assessments Offering a 360degree holistic approach to education Altura combines smartly designed learning resources that are aligned to the latest National Curriculum Framework for School Education tcomprisesarich suite of digital interactivities along withacomprehensive learning platform with a range of options and strategies to successfully handle a lesson at hand,to the latest national curriculum framework for school education tcomprisesarich,To the latest national curriculum ********* for school education tcomprisesarich,,,,
bath,"Let's play house-house... ]/ | will bring

Bath is done!",Lets play househouse   will bring  Bath is done,lets play househouse will bring bath is done,Lets play househouse will bring **** is done,,,,
