dict_matched_filtered_words,sentence,cleaned_sentence,chunked_sentence
audit,"bo eaten | * Make mixed frult salad corract option
raw }¢ Sabet about roughage + Comprehension questions
* Food audit + HOTS
Do It yoursalf; Kiteh d
: bal alla Virtual tour Healthy and junkfood
UNITY CLT Qieevee aid Kbondifieg plante in tho eqronnent * Charactaristics of | + Sort things into groups * Describe |* Fillin the flow chart
XL Living end O41 Observes ad dissorties divernity among plants and animals in the living things * Make a cucumber salad movement * Choose the correct word to
Noniving environment |» Comparison of [+ Observe the process of breathing In an complete each sentence
Tringe living and non- | * Compare pictures of oneself animal + Fill ln the blanks
ORIKNE-MOO-B ving things * Understand movement * Comprehension questions
+ Understand response to stimuli + HOTS
| + List the young ones of animals _ pad
UNIT it O11 Observes and Kentiiies animals in the environment |* Roots, stem, * Classify plants into different types + Role-play * Choose the correct option =
4 Pamote O13 Asks questions and makes predictions about simple pattems such as | flowers, fruits and |* Draw a plant about the « Label the parts of a plant
Pant erengonert fv, formation of rats fom flowers and peminaon | seedehnclone |: {derstand the functions of roots | importance of |+ Sequencing
eo} > + v i
CO-1HS-203-4 relies ae Stans * Picture-based task about the stem Mech Identify the type of plant
OOH O21 Kientiies the parts of plants thal are eaten as food .",bo eaten   Make mixed frult salad corract option raw  Sabet about roughage  Comprehension questions  Food audit  HOTS Do It yoursalf Kiteh d  bal alla Virtual tour Healthy and junkfood UNITY CLT Qieevee aid Kbondifieg plante in tho eqronnent  Charactaristics of   Sort things into groups  Describe  Fillin the flow chart XL Living end O41 Observes ad dissorties divernity among plants and animals in the living things  Make a cucumber salad movement  Choose the correct word to Noniving environment  Comparison of  Observe the process of breathing In an complete each sentence Tringe living and non   Compare pictures of oneself animal  Fill ln the blanks ORIKNEMOOB ving things  Understand movement  Comprehension questions  Understand response to stimuli  HOTS   List the young ones of animals  pad UNIT it O11 Observes and Kentiiies animals in the environment  Roots stem  Classify plants into different types  Roleplay  Choose the correct option  4 Pamote O13 Asks questions and makes predictions about simple pattems such as  flowers fruits and  Draw a plant about the  Label the parts of a plant Pant erengonert fv formation of rats fom flowers and peminaon  seedehnclone  derstand the functions of roots  importance of  Sequencing eo   v i CO1HS2034 relies ae Stans  Picturebased task about the stem Mech Identify the type of plant OOH O21 Kientiies the parts of plants thal are eaten as food ,about roughage comprehension questions food audit hots do it yoursalf
push,"Force and C-1.1.1 Observes and identifies different types of forces and motion in the * Motion + Make a hypothesis about force and|+ Listthe types |+ identify push and pull in the
Motion environment * Force motion of motion given pictures
(CG-1\CG-5|CG-7) C-1.2.1 Describes relationship between force and motion + Whatcanforce |+ Picture-based task on motion seen around |* Choose the word to complete
do?",Force and C111 Observes and identifies different types of forces and motion in the  Motion  Make a hypothesis about force and Listthe types  identify push and pull in the Motion environment  Force motion of motion given pictures CG1CG5CG7 C121 Describes relationship between force and motion  Whatcanforce  Picturebased task on motion seen around  Choose the word to complete do,force and listthe types identify push and pull in the
their,"Parents, too, get access to view the performance of
their children.",Parents too get access to view the performance of their children,to view the performance of their children
activity,"Our Environment 140
Environment
Learning by Doing: Cross-curricular Project-1 Saga
(Animal Diaries) :
Learning by Doing: Cross-curricular Project-2 Ase 13
(Water: A Precious Treasure) :
Project-based Learning (Bring Back House Sparrows)
Assessment: Model Test Paper-1 152-154
Assessment: Model Test Paper-2 155-1517)
r

360-degree Holistic Progress Card (Comprehensive) 158-160



Page nummber: 3
LEARNING OUTCOMES

WARM-UP

interactive tasks to
engage learners ee

ACTIVITY

to aid in
experiential
learning

significant learning outcomes
that the learners will achieve
on completion of the lesson

Living Things Move o
| eran
; \Y/ eontiome
!",Our Environment 140 Environment Learning by Doing Crosscurricular Project1 Saga Animal Diaries  Learning by Doing Crosscurricular Project2 Ase 13 Water A Precious Treasure  Projectbased Learning Bring Back House Sparrows Assessment Model Test Paper1 152154 Assessment Model Test Paper2 1551517 r  360degree Holistic Progress Card Comprehensive 158160    Page nummber 3 LEARNING OUTCOMES  WARMUP  interactive tasks to engage learners ee  ACTIVITY  to aid in experiential learning  significant learning outcomes that the learners will achieve on completion of the lesson  Living Things Move o  eran  Y eontiome ,tasks to engage learners ee activity to aid in experiential
formative,"These include components like Animations, Teaching Videos, Warm-up
Activities, Cross-curricular Activities, Quizzes and Challenges for each chapter for learners selfpractice;
Test Generator for teachers to create Formative or Summative Assessments; Worksheets for every chapter,
Glossary, and much more.",These include components like Animations Teaching Videos Warmup Activities Crosscurricular Activities Quizzes and Challenges for each chapter for learners selfpractice Test Generator for teachers to create Formative or Summative Assessments Worksheets for every chapter Glossary and much more,generator for teachers to create formative or summative assessments worksheets
nectar,"{tasks to develop knowledge, understanding and practical
skills through a study of interconnected topics

ANIMAL DIARIES

Have you scen a butterfly feeding on nectar?",tasks to develop knowledge understanding and practical skills through a study of interconnected topics  ANIMAL DIARIES  Have you scen a butterfly feeding on nectar,scen a butterfly feeding on nectar
take,"Talk | lst CENTURY
Take a glass of frutt | 1 Prccaovana ery | The word arimal comes bom 2 Lain word, avwmalty, whuch
 Butterflies have long, thin and Duce.",Talk  lst CENTURY Take a glass of frutt  1 Prccaovana ery  The word arimal comes bom 2 Lain word avwmalty whuch  Butterflies have long thin and Duce,talk lst century take a glass of frutt
hew,"O db ro

Page 32

Katomtet

Did denagee are cemnoely ward wo diferent art fren Hew 0 an custint of 6
peacock im Kalembon, » popsla art form of Aniiry Prato aod Taenge
Kamhart 0 dome on come ot ah fara wath 4 Gamarind pen, ey sae

Refer to he teserect and find out more aut Kalen Ad @ Oe outiow
wth ot

¥



Page nummber: 4
They shoot out the tongue to trip hasecta Thea they Fod beck the tongue into i CROSS-CURRICUL AR PROJECT

the mouth and swallow the food.",O db ro  Page 32  Katomtet  Did denagee are cemnoely ward wo diferent art fren Hew 0 an custint of 6 peacock im Kalembon  popsla art form of Aniiry Prato aod Taenge Kamhart 0 dome on come ot ah fara wath 4 Gamarind pen ey sae  Refer to he teserect and find out more aut Kalen Ad  Oe outiow wth ot      Page nummber 4 They shoot out the tongue to trip hasecta Thea they Fod beck the tongue into i CROSSCURRICUL AR PROJECT  the mouth and swallow the food,ward wo diferent art fren hew 0 an custint of
write,"Write one function of the following:
a. the lungs b. the brain c. the kidneys

4.",Write one function of the following a the lungs b the brain c the kidneys  4,write one function of the
anyone,Should anyone feel guilty or ashamed if someone troubles them?,Should anyone feel guilty or ashamed if someone troubles them,should anyone feel guilty or ashamed
understand,"The house sparrow has been known to live in dose
contact with human deings, instead of foresta, For years,
Dy R has peace\sy coaxisted with us in our buldings and
Hy) Gardens, but in the last two decades, ther poputation has

assist learners understand
their strengths and

weaknesses, thereby take
remedial strategies to
improve learning

Page 159


Page nummber: 5
NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO
tducation 2024; Preparatory Stage

Chapter
Ke
Currioutat Compotoncion Cone ote Warm-up/Aativity Talk Exercises
Gaata
Ny (5-18 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer + Golveaa + Pillin the blanks
1 My aay {D4 Povmpotheane (hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly + Plead, understand and anawerqueationa | riddle |* Correct the slalements
CO HOON CR) Deere sterile: tahaaste: anne parnatinee can aatily peed pieetetiony + Organs and |* Maka two neckiacad from ona + Tick the corract reason
re CRD Pegnmeeerste: ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers + Solve the rddla * Comprahansion questions
 aren ree ie work |* Label the parts of the digestive
+ Spot the differances system
* Think and anawer * HOTS
Do it yourself Safaty
t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een * Components of |+ Pleture-based laak fo understand how | + Talk about + Pill in the blanks ""
We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food * Tick the corract option
UNS NS C2 eevee and clemorlten cuittural vnenity of food + Ralanced diet * Read a poem on proteing |+ Complete the table
> }+ Foods that + Test for tha praserice of fat + Read the case and tick the
| shoul!",The house sparrow has been known to live in dose contact with human deings instead of foresta For years Dy R has peacesy coaxisted with us in our buldings and Hy Gardens but in the last two decades ther poputation has  assist learners understand their strengths and  weaknesses thereby take remedial strategies to improve learning  Page 159   Page nummber 5 NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO tducation 2024 Preparatory Stage  Chapter Ke Currioutat Compotoncion Cone ote WarmupAativity Talk Exercises Gaata Ny 518 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer  Golveaa  Pillin the blanks 1 My aay D4 Povmpotheane hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly  Plead understand and anawerqueationa  riddle  Correct the slalements CO HOON CR Deere sterile tahaaste anne parnatinee can aatily peed pieetetiony  Organs and  Maka two neckiacad from ona  Tick the corract reason re CRD Pegnmeeerste ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers  Solve the rddla  Comprahansion questions  aren ree ie work  Label the parts of the digestive  Spot the differances system  Think and anawer  HOTS Do it yourself Safaty t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een  Components of  Pleturebased laak fo understand how   Talk about  Pill in the blanks  We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food  Tick the corract option UNS NS C2 eevee and clemorlten cuittural vnenity of food  Ralanced diet  Read a poem on proteing  Complete the table   Foods that  Test for tha praserice of fat  Read the case and tick the  shoul,ther poputation has assist learners understand their strengths and weaknesses
scenery,"Mab lela  pening + Infer that warm air is lighter and rises up 5 Seth the following
\CG-4| er : aks ean of water + Wite Yes or No
en 06-4) * Saving water evalabie worse + Comprehension questions
+ Understand ways of saving water + HOTS
: } Do it yourself: Storing water Virtual tour: Water cycle E-
| UNIT VI C-1.1 Observes and identifies the natural components In the environment lo Components + Draw and colour a scenery + Explain + Fill in the blanks
142.",Mab lela  pening  Infer that warm air is lighter and rises up 5 Seth the following CG4 er  aks ean of water  Wite Yes or No en 064  Saving water evalabie worse  Comprehension questions  Understand ways of saving water  HOTS   Do it yourself Storing water Virtual tour Water cycle E  UNIT VI C11 Observes and identifies the natural components In the environment lo Components  Draw and colour a scenery  Explain  Fill in the blanks 142,components draw and colour a scenery explain fill in the
involved,"It has something to offer to all the stakeholders
involved in the journey of education, be it learners, parents, teachers, or principals.",It has something to offer to all the stakeholders involved in the journey of education be it learners parents teachers or principals,offer to all the stakeholders involved in the journey of
while,"While making a toy horse, we make a frame first.",While making a toy horse we make a frame first,while making a toy horse
can,"Altura is hosted on MEE (Macmillan Education Everywhere), a Learning Management System (LMS) that
offers Schools a platform which they can easily adapt to.",Altura is hosted on MEE Macmillan Education Everywhere a Learning Management System LMS that offers Schools a platform which they can easily adapt to,schools a platform which they can easily adapt to
ward,"O db ro

Page 32

Katomtet

Did denagee are cemnoely ward wo diferent art fren Hew 0 an custint of 6
peacock im Kalembon, » popsla art form of Aniiry Prato aod Taenge
Kamhart 0 dome on come ot ah fara wath 4 Gamarind pen, ey sae

Refer to he teserect and find out more aut Kalen Ad @ Oe outiow
wth ot

¥



Page nummber: 4
They shoot out the tongue to trip hasecta Thea they Fod beck the tongue into i CROSS-CURRICUL AR PROJECT

the mouth and swallow the food.",O db ro  Page 32  Katomtet  Did denagee are cemnoely ward wo diferent art fren Hew 0 an custint of 6 peacock im Kalembon  popsla art form of Aniiry Prato aod Taenge Kamhart 0 dome on come ot ah fara wath 4 Gamarind pen ey sae  Refer to he teserect and find out more aut Kalen Ad  Oe outiow wth ot      Page nummber 4 They shoot out the tongue to trip hasecta Thea they Fod beck the tongue into i CROSSCURRICUL AR PROJECT  the mouth and swallow the food,katomtet did denagee are cemnoely ward wo diferent art fren
distinguish,"It also helps us
to distinguish between
different smells.",It also helps us to distinguish between different smells,it also helps us to distinguish between different smells
paragraph,"+ Understand force the sentence
+ Understand about the magnitude of + Tre ose
force to be applied q Natalee: and answer
Do oust Ara eset * Comprehension questions
+ HOTS
1 Observes and identifies it + Talk about + Complete the paragraph
C114 and that air is all around us * Properties and |+ Make a pinwheel alk al pI paragrap
10.", Understand force the sentence  Understand about the magnitude of  Tre ose force to be applied q Natalee and answer Do oust Ara eset  Comprehension questions  HOTS 1 Observes and identifies it  Talk about  Complete the paragraph C114 and that air is all around us  Properties and  Make a pinwheel alk al pI paragrap 10,it talk about complete the paragraph c114 and that air
century,"Talk | lst CENTURY
Take a glass of frutt | 1 Prccaovana ery | The word arimal comes bom 2 Lain word, avwmalty, whuch
 Butterflies have long, thin and Duce.",Talk  lst CENTURY Take a glass of frutt  1 Prccaovana ery  The word arimal comes bom 2 Lain word avwmalty whuch  Butterflies have long thin and Duce,talk lst century take a glass of
every,"These include components like Animations, Teaching Videos, Warm-up
Activities, Cross-curricular Activities, Quizzes and Challenges for each chapter for learners selfpractice;
Test Generator for teachers to create Formative or Summative Assessments; Worksheets for every chapter,
Glossary, and much more.",These include components like Animations Teaching Videos Warmup Activities Crosscurricular Activities Quizzes and Challenges for each chapter for learners selfpractice Test Generator for teachers to create Formative or Summative Assessments Worksheets for every chapter Glossary and much more,or summative assessments worksheets for every chapter glossary and much
acetone,"72, 77, 8891, 93, 94, 99, 101,

| Speaking 102, 105, 109, 119, 120, 126, 129, 132, 133, 138, 139, 140, 146

23, 70, 71, 87, 88-91, 98

~ | 34, 8891, 137
34, 8891, 137

Information Literac

-91, 138, 139 _

Active

Experimentation | 138, 139

Experiential Learning 27, 28, 34, 36, 37, 63, 111, 117, 121, 124, 129
Observation

Initiative
Social SI

26, 27, 40, 102, 103, 105, 106, 111, 117, 118, 119, 121, 124, 129;

TI a7

Sports-/Games-
integrated Learnt



Page nummber: 7
Unit I

The Human Body

7 My Body

LESSON SCHEMA [i cgi SIS le esas acetone ieiearenh S cl a ie, jg :

spot skeletal system
:..- muscular system
jes digestive system
jee respiratory system
sense organs

i--- circulatory system

++ excretory system
*+= reproductive system


i
'
i
i
1
1
1
nervous system
)
i
1
1
i
I
!",72 77 8891 93 94 99 101   Speaking 102 105 109 119 120 126 129 132 133 138 139 140 146  23 70 71 87 8891 98    34 8891 137 34 8891 137  Information Literac  91 138 139   Active  Experimentation  138 139  Experiential Learning 27 28 34 36 37 63 111 117 121 124 129 Observation  Initiative Social SI  26 27 40 102 103 105 106 111 117 118 119 121 124 129  TI a7  SportsGames integrated Learnt    Page nummber 7 Unit I  The Human Body  7 My Body  LESSON SCHEMA i cgi SIS le esas acetone ieiearenh S cl a ie jg   spot skeletal system  muscular system jes digestive system jee respiratory system sense organs  i circulatory system   excretory system  reproductive system   i  i i 1 1 1 nervous system  i 1 1 i I ,i cgi sis le esas acetone ieiearenh s cl a
set,"MEE is an online education hub that provides a large and indispensable set of features to support
educational activities such as classroom learning and distance education.",MEE is an online education hub that provides a large and indispensable set of features to support educational activities such as classroom learning and distance education,provides a large and indispensable set of features to support
note,"classroom/home-based group projects
to develop research skills

MY INDIA, MY PRIDE

Snippets to instil national pride through the
knowledge of India and its varied culture,

° oe * Alter the completion of te IN
heritage, traditions, customs and strong ethics ea @- Hye ar
(hat has empacted the Note to the teacher
= == tal

| Divide the students into teams.",classroomhomebased group projects to develop research skills  MY INDIA MY PRIDE  Snippets to instil national pride through the knowledge of India and its varied culture   oe  Alter the completion of te IN heritage traditions customs and strong ethics ea  Hye ar hat has empacted the Note to the teacher   tal   Divide the students into teams,ar hat has empacted the note to the teacher tal
background,"11> , Mint Century Skla/
UM obisb iil ah ey )®aj continuous and igahne G veo rres
\ i it 5 + Colaborssoe Rls advisable that ©
4 , | i] | |comprehensive cpm Stcasanrerectanmress
| 4 ; STAT assessments in the Wictagtedlaes 1) gi ORIN
BY a ay | 3 + Information Laeracy | Background knowledge
i I UARrAnrae| UM ARTUR cognitive, affective and Becevcoind
if i U J 4 : = Media Literacy The house sparrow is a small brown-coloured bird wath
i psychomotor domains to come tac eras ont bec th bow hr

seeds, bul in the breeding season, adits feed thelr young
+ Language + Exgorerng ones with Insects.",11  Mint Century Skla UM obisb iil ah ey aj continuous and igahne G veo rres  i it 5  Colaborssoe Rls advisable that  4   i  comprehensive cpm Stcasanrerectanmress  4  STAT assessments in the Wictagtedlaes 1 gi ORIN BY a ay  3  Information Laeracy  Background knowledge i I UARrAnrae UM ARTUR cognitive affective and Becevcoind if i U J 4   Media Literacy The house sparrow is a small browncoloured bird wath i psychomotor domains to come tac eras ont bec th bow hr  seeds bul in the breeding season adits feed thelr young  Language  Exgorerng ones with Insects,a ay 3 information laeracy background knowledge i i uarranrae
spinal,"Along with the brain, the nervous

yy

|
} RN
) UN Ni system consists of the spinal cord and a network
4 ie nerves
| a) / of nerves.",Along with the brain the nervous  yy    RN  UN Ni system consists of the spinal cord and a network 4 ie nerves  a  of nerves,ni system consists of the spinal cord and a network
perform,"Latest National
Curriculum
Framework for
School Education:
Preparatory Stage

Which of the two ectons will you perform first
if you Nave to eat an apple?",Latest National Curriculum Framework for School Education Preparatory Stage  Which of the two ectons will you perform first if you Nave to eat an apple,the two ectons will you perform first if you nave
the,"

Page nummber: 1
ABOUT Altura

Macmillan Education introduces you to a new world of blended learning, Altura = Advancing Learning
and Teaching Using Resources and Assessments, Offering a 360-degree holistic approach to education,
Altura combines smartly designed learning resources that are aligned to the latest National Curriculum
Framework for School Education, |tcomprisesarich suite of digital interactivities, along withacomprehensive
learning platform, with a range of options and strategies to successfully handle a lesson at hand.",  Page nummber 1 ABOUT Altura  Macmillan Education introduces you to a new world of blended learning Altura  Advancing Learning and Teaching Using Resources and Assessments Offering a 360degree holistic approach to education Altura combines smartly designed learning resources that are aligned to the latest National Curriculum Framework for School Education tcomprisesarich suite of digital interactivities along withacomprehensive learning platform with a range of options and strategies to successfully handle a lesson at hand,resources that are aligned to the latest national curriculum framework
our,"Our Environment 140
Environment
Learning by Doing: Cross-curricular Project-1 Saga
(Animal Diaries) :
Learning by Doing: Cross-curricular Project-2 Ase 13
(Water: A Precious Treasure) :
Project-based Learning (Bring Back House Sparrows)
Assessment: Model Test Paper-1 152-154
Assessment: Model Test Paper-2 155-1517)
r

360-degree Holistic Progress Card (Comprehensive) 158-160



Page nummber: 3
LEARNING OUTCOMES

WARM-UP

interactive tasks to
engage learners ee

ACTIVITY

to aid in
experiential
learning

significant learning outcomes
that the learners will achieve
on completion of the lesson

Living Things Move o
| eran
; \Y/ eontiome
!",Our Environment 140 Environment Learning by Doing Crosscurricular Project1 Saga Animal Diaries  Learning by Doing Crosscurricular Project2 Ase 13 Water A Precious Treasure  Projectbased Learning Bring Back House Sparrows Assessment Model Test Paper1 152154 Assessment Model Test Paper2 1551517 r  360degree Holistic Progress Card Comprehensive 158160    Page nummber 3 LEARNING OUTCOMES  WARMUP  interactive tasks to engage learners ee  ACTIVITY  to aid in experiential learning  significant learning outcomes that the learners will achieve on completion of the lesson  Living Things Move o  eran  Y eontiome ,our environment 140 environment learning
lifelong,"Page nummber: 6
21st CENTURY SKILLS

In the aist-century classroom, it is necessary to prepare learners for the abilities and skills that
build the foundation for lifelong learning.",Page nummber 6 21st CENTURY SKILLS  In the aistcentury classroom it is necessary to prepare learners for the abilities and skills that build the foundation for lifelong learning,that build the foundation for lifelong learning
move,"Our Environment 140
Environment
Learning by Doing: Cross-curricular Project-1 Saga
(Animal Diaries) :
Learning by Doing: Cross-curricular Project-2 Ase 13
(Water: A Precious Treasure) :
Project-based Learning (Bring Back House Sparrows)
Assessment: Model Test Paper-1 152-154
Assessment: Model Test Paper-2 155-1517)
r

360-degree Holistic Progress Card (Comprehensive) 158-160



Page nummber: 3
LEARNING OUTCOMES

WARM-UP

interactive tasks to
engage learners ee

ACTIVITY

to aid in
experiential
learning

significant learning outcomes
that the learners will achieve
on completion of the lesson

Living Things Move o
| eran
; \Y/ eontiome
!",Our Environment 140 Environment Learning by Doing Crosscurricular Project1 Saga Animal Diaries  Learning by Doing Crosscurricular Project2 Ase 13 Water A Precious Treasure  Projectbased Learning Bring Back House Sparrows Assessment Model Test Paper1 152154 Assessment Model Test Paper2 1551517 r  360degree Holistic Progress Card Comprehensive 158160    Page nummber 3 LEARNING OUTCOMES  WARMUP  interactive tasks to engage learners ee  ACTIVITY  to aid in experiential learning  significant learning outcomes that the learners will achieve on completion of the lesson  Living Things Move o  eran  Y eontiome ,of the lesson living things move o eran y eontiome
is,"Altura is hosted on MEE (Macmillan Education Everywhere), a Learning Management System (LMS) that
offers Schools a platform which they can easily adapt to.",Altura is hosted on MEE Macmillan Education Everywhere a Learning Management System LMS that offers Schools a platform which they can easily adapt to,altura is hosted on mee macmillan
thinking,"They slither, af

ee i th aS a x6

CONCEPTS 9

explained in lucid language,
supported with accurate
illustrations/photographs

COMPETENCY-BASED ASSESSMENTS

test higher-order skills, such as analysing,
Critical thinking, and conceptual clarity

ART-INTEGRATED
LEARNING

to promote learning and development, and

DIGITAL ASSETS

digital assets embedded to
promote blended learning

6 BirdsOur

nests how bards Oy

Feathered Friends

[uesson scuema F /
: Gflerert birds around va body pws
/



LEARNING OUTCOMES

At the end of this lesson, the learners will be able tor

© state where birds live.",They slither af  ee i th aS a x6  CONCEPTS 9  explained in lucid language supported with accurate illustrationsphotographs  COMPETENCYBASED ASSESSMENTS  test higherorder skills such as analysing Critical thinking and conceptual clarity  ARTINTEGRATED LEARNING  to promote learning and development and  DIGITAL ASSETS  digital assets embedded to promote blended learning  6 BirdsOur  nests how bards Oy  Feathered Friends  uesson scuema F   Gflerert birds around va body pws     LEARNING OUTCOMES  At the end of this lesson the learners will be able tor   state where birds live,skills such as analysing critical thinking and conceptual clarity artintegrated
relationship,"Force and C-1.1.1 Observes and identifies different types of forces and motion in the * Motion + Make a hypothesis about force and|+ Listthe types |+ identify push and pull in the
Motion environment * Force motion of motion given pictures
(CG-1\CG-5|CG-7) C-1.2.1 Describes relationship between force and motion + Whatcanforce |+ Picture-based task on motion seen around |* Choose the word to complete
do?",Force and C111 Observes and identifies different types of forces and motion in the  Motion  Make a hypothesis about force and Listthe types  identify push and pull in the Motion environment  Force motion of motion given pictures CG1CG5CG7 C121 Describes relationship between force and motion  Whatcanforce  Picturebased task on motion seen around  Choose the word to complete do,given pictures cg1cg5cg7 c121 describes relationship between force and motion
side,"What do you do to
pace Seer TE) re Cored oe
| hop) crawi() nm) side) me
} Work in pais and play hopscotch.",What do you do to pace Seer TE re Cored oe  hop crawi nm side me  Work in pais and play hopscotch,cored oe hop crawi nm side me work in pais
active,"72, 77, 8891, 93, 94, 99, 101,

| Speaking 102, 105, 109, 119, 120, 126, 129, 132, 133, 138, 139, 140, 146

23, 70, 71, 87, 88-91, 98

~ | 34, 8891, 137
34, 8891, 137

Information Literac

-91, 138, 139 _

Active

Experimentation | 138, 139

Experiential Learning 27, 28, 34, 36, 37, 63, 111, 117, 121, 124, 129
Observation

Initiative
Social SI

26, 27, 40, 102, 103, 105, 106, 111, 117, 118, 119, 121, 124, 129;

TI a7

Sports-/Games-
integrated Learnt



Page nummber: 7
Unit I

The Human Body

7 My Body

LESSON SCHEMA [i cgi SIS le esas acetone ieiearenh S cl a ie, jg :

spot skeletal system
:..- muscular system
jes digestive system
jee respiratory system
sense organs

i--- circulatory system

++ excretory system
*+= reproductive system


i
'
i
i
1
1
1
nervous system
)
i
1
1
i
I
!",72 77 8891 93 94 99 101   Speaking 102 105 109 119 120 126 129 132 133 138 139 140 146  23 70 71 87 8891 98    34 8891 137 34 8891 137  Information Literac  91 138 139   Active  Experimentation  138 139  Experiential Learning 27 28 34 36 37 63 111 117 121 124 129 Observation  Initiative Social SI  26 27 40 102 103 105 106 111 117 118 119 121 124 129  TI a7  SportsGames integrated Learnt    Page nummber 7 Unit I  The Human Body  7 My Body  LESSON SCHEMA i cgi SIS le esas acetone ieiearenh S cl a ie jg   spot skeletal system  muscular system jes digestive system jee respiratory system sense organs  i circulatory system   excretory system  reproductive system   i  i i 1 1 1 nervous system  i 1 1 i I ,information literac 91 138 139 active experimentation 138 139 experiential
close,"The leaves of a
touch-me-not plant close when touched.",The leaves of a touchmenot plant close when touched,leaves of a touchmenot plant close when touched
classroom,"MEE is an online education hub that provides a large and indispensable set of features to support
educational activities such as classroom learning and distance education.",MEE is an online education hub that provides a large and indispensable set of features to support educational activities such as classroom learning and distance education,support educational activities such as classroom learning and distance education
working,"ame Re
= 3M Rp)
~e et '

Animals such as cows and buffaloes first bite and cut leaves and grass into

Act
pieces, They have sharp front teeth for biting and cutting Later, they chew and ti

Have you seen ants moving and working together as a team?",ame Re  3M Rp e et   Animals such as cows and buffaloes first bite and cut leaves and grass into  Act pieces They have sharp front teeth for biting and cutting Later they chew and ti  Have you seen ants moving and working together as a team,you seen ants moving and working together as a team
psychomotor,"11> , Mint Century Skla/
UM obisb iil ah ey )®aj continuous and igahne G veo rres
\ i it 5 + Colaborssoe Rls advisable that ©
4 , | i] | |comprehensive cpm Stcasanrerectanmress
| 4 ; STAT assessments in the Wictagtedlaes 1) gi ORIN
BY a ay | 3 + Information Laeracy | Background knowledge
i I UARrAnrae| UM ARTUR cognitive, affective and Becevcoind
if i U J 4 : = Media Literacy The house sparrow is a small brown-coloured bird wath
i psychomotor domains to come tac eras ont bec th bow hr

seeds, bul in the breeding season, adits feed thelr young
+ Language + Exgorerng ones with Insects.",11  Mint Century Skla UM obisb iil ah ey aj continuous and igahne G veo rres  i it 5  Colaborssoe Rls advisable that  4   i  comprehensive cpm Stcasanrerectanmress  4  STAT assessments in the Wictagtedlaes 1 gi ORIN BY a ay  3  Information Laeracy  Background knowledge i I UARrAnrae UM ARTUR cognitive affective and Becevcoind if i U J 4   Media Literacy The house sparrow is a small browncoloured bird wath i psychomotor domains to come tac eras ont bec th bow hr  seeds bul in the breeding season adits feed thelr young  Language  Exgorerng ones with Insects,small browncoloured bird wath i psychomotor domains to come tac
bouquet,"MEE is an application to support learning and teaching processes with a bouquet of digital resources
for both teachers and learners.",MEE is an application to support learning and teaching processes with a bouquet of digital resources for both teachers and learners,and teaching processes with a bouquet of digital resources for
help,Birds have wings that help them fly.,Birds have wings that help them fly,birds have wings that help them fly
