word,word_type,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
effects,3_science_LS2,list the harmful effects of rotten food,List the harmful ******* of rotten food,Scenic effects,Scenic *******,Eating too much candy has effects on your teeth.,Eating too much candy has ******* on your teeth.
nutrient,3_science_LS2,each nutrient has a particular function,Each ******** has a particular function,"However , this artery is known to be a nutrient vessel with a distribution primarily to the proximal airways and supportive tissues of the lung .","However , this artery is known to be a ******** vessel with a distribution primarily to the proximal airways and supportive tissues of the lung .",Plants need nutrient,Plants need ********
teeth,3_science_LS2,to make our bones and teeth strong,To make our bones and ***** strong,Player was the first to feel its teeth .,Player was the first to feel its ***** .,Brush your teeth before bed.,Brush your ***** before bed.
following,3_science_LS2,which of the following will his mother pack,Which of the ********* will his mother pack,Full payment of nursing home bills for up to 180 days following discharge from a hospital .,Full payment of nursing home bills for up to 180 days ********* discharge from a hospital .,The following day was sunny.,The ********* day was sunny.
sugar,3_science_LS2,starch and sugar are types of carbohydrates,Starch and ***** are types of carbohydrates,"In addition to the tickets to the movies , sporting events and concerts , Mrs. Marr lines up candy and cookies because alcoholics require a lot of sweets to replace the sugar in their system .","In addition to the tickets to the movies , sporting events and concerts , mrs. marr lines up candy and cookies because alcoholics require a lot of sweets to replace the ***** in their system .",Cookies have sugar.,Cookies have *****.
between,3_science_LS2,place each food item between the folds of a,Place each food item ******* the folds of a,"It would authorize the Texas Education Agency to establish county-wide day schools for the deaf in counties of 300,000 or more population , require deaf children between 6 and 13 years of age to attend the day schools , permitting older ones to attend the residential Texas School for the Deaf here .","It would authorize the texas education agency to establish county-wide day schools for the deaf in counties of 300,000 or more population , require deaf children ******* 6 and 13 years of age to attend the day schools , permitting older ones to attend the residential texas school for the deaf here .",The park is between two buildings.,The park is ******* two buildings.
eats,3_science_LS2,roughage ee et cn mae eats sry it ee ie,Roughage ee et cn mae **** sry it ee ie,"When someone in the audience rose and asked how does it feel to be a celebrity , Carl said , `` A celebrity is a fellow who eats celery with celerity '' .","When someone in the audience rose and asked how does it feel to be a celebrity , carl said , `` a celebrity is a fellow who **** celery with celerity '' .",The cat eats twice a day.,The cat **** twice a day.
carry,3_science_LS2,need energy to work and carry out various activities,Need energy to work and ***** out various activities,"Many local citizens feared that there would be irregularities at the polls , and Williams got himself a permit to carry a gun and promised an orderly election .","Many local citizens feared that there would be irregularities at the polls , and williams got himself a permit to ***** a gun and promised an orderly election .",I carry my backpack to school.,I ***** my backpack to school.
be,3_science_LS2,as ii nina igi es be carbohydrates game proteins wy,As ii nina igi es ** carbohydrates game proteins wy,"However , the jury said it believes `` these two offices should be combined to achieve greater efficiency and reduce the cost of administration '' .","However , the jury said it **lieves `` these two offices should ** combined to achieve greater efficiency and reduce the cost of administration '' .",I want to be a doctor.,I want to ** a doctor.
cover,3_science_LS2,evenly in the pot and cover them with a thin,Evenly in the pot and ***** them with a thin,"Rep. James Cotten of Weatherford insisted that a water development bill passed by the Texas House of Representatives was an effort by big cities like Dallas and Fort Worth to cover up places like Paradise , a Wise County hamlet of 250 people .","Rep. james cotten of weatherford insisted that a water development bill passed by the texas house of representatives was an effort by big cities like dallas and fort worth to ***** up places like paradise , a wise county hamlet of 250 people .",Use a blanket to cover up.,Use a blanket to ***** up.
swallow,3_science_LS2,swallow the juice only,******* the juice only,Let us focus on an atom of calcium from the tip of the bone of my finger and let us suppose that I swallow a magic Alice In Wonderland growing pill .,Let us focus on an atom of calcium from the tip of the bone of my finger and let us suppose that i ******* a magic alice in wonderland growing pill ., Don't forget to swallow your medicine., don't forget to ******* your medicine.
eaten,3_science_LS2,diet foods that should be eaten raw some vegetables such,Diet foods that should be ***** raw some vegetables such,"He has measured the skinfolds ( the fleshy areas under the shoulder blades ) of Neapolitan firemen , studied the metabolism of Finnish woodcutters , analyzed the `` mealie-meal '' eaten by Capetown coloreds , and experimented on Minneapolis businessmen .","He has measured the skinfolds ( the fleshy areas under the shoulder blades ) of neapolitan firemen , studied the metabolism of finnish woodcutters , analyzed the `` mealie-meal '' ***** by capetown coloreds , and experimented on minneapolis businessmen .",The cake was eaten quickly.,The cake was ***** quickly.
identify,3_science_LS2,learning read the poem and identify the nutrient,Learning read the poem and ******** the nutrient,He wanted to identify with people and have a connection with them ; ;,He wanted to ******** with people and have a connection with them ; ;,Can you identify this animal?,Can you ******** this animal?
stale,3_science_LS2,eating stale or rotten food can,Eating ***** or rotten food can,"Here is the world of the chauffeured limousine and the gossip reporter , of caviar on stale crackers and the warm martini , of the poseur , the spy , the party crasher , and the patriot , of the rented tails , the double cross , and the tired Lothario .","Here is the world of the chauffeured limousine and the gossip reporter , of caviar on ***** crackers and the warm martini , of the poseur , the spy , the party crasher , and the patriot , of the rented tails , the double cross , and the tired lothario .", Bread becomes stale if left out., bread becomes ***** if left out.
given,3_science_LS2,your observation in the table given below,Your observation in the table ***** below,Pelham said Sunday night there was research being done on whether the `` quickie '' vote on the increase can be repealed outright or whether notice would have to first be given that reconsideration of the action would be sought .,Pelham said sunday night there was research being done on whether the `` quickie '' vote on the increase can be repealed outright or whether notice would have to first be ***** that reconsideration of the action would be sought .,"Given the chance, I'd go to space.","***** the chance, i'd go to space."
lead,3_science_LS2,is called obesity which may lead to many diseases,Is called obesity which may **** to many diseases,"Richard M. Forbes's Paget , which had what seemed to be a substantial lead in the early stages , tired rapidly nearing the wire and was able to save place money only a head in front of Glen T. Hallowell's Milties Miss .","Richard m. forbes's paget , which had what seemed to be a substantial **** in the early stages , tired rapidly nearing the wire and was able to save place money only a head in front of glen t. hallowell's milties miss .",She will lead the team.,She will **** the team.
sufficient,3_science_LS2,an appropriate place to receive sufficient sunlight,An appropriate place to receive ********** sunlight,"`` This is a very modest proposal cut to meet absolutely essential needs '' , he said , `` and with sufficient ' deductible ' requirements to discourage any malingering or unnecessary overcrowding of our hospitals .","`` this is a very modest proposal cut to meet absolutely essential needs '' , he said , `` and with ********** ' deductible ' requirements to discourage any malingering or unnecessary overcrowding of our hospitals .",We have sufficient food.,We have ********** food.
josh,3_science_LS2,pradesh i hyderabadi biryani kashmirrogan josh biharlittichokha page nummber 9,Pradesh i hyderabadi biryani kashmirrogan **** biharlittichokha page nummber 9,No example sentence found.,No example sentence found., Josh is excited about his birthday., **** is excited about his birthday.
depend,3_science_LS2,the food preferences of people depend are given below,The food preferences of people ****** are given below,"`` We must solve the problems which have forced these people to depend upon ADC for subsistence '' , Martin said .","`` we must solve the problems which have forced these people to ****** upon adc for subsistence '' , martin said .",Plants depend on sunlight.,Plants ****** on sunlight.
anaemia,3_science_LS2,minerals causes diseases such as anaemia and goitre,Minerals causes diseases such as ******* and goitre,No example sentence found.,No example sentence found.,Eating iron helps prevent anaemia.,Eating iron helps prevent *******.
did,3_science_LS2,which piece of the newspaper did you observe an oily,Which piece of the newspaper *** you observe an oily,The jury said it did find that many of Georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,The jury said it *** find that many of georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,I did my homework.,I *** my homework.
regular,3_science_LS2,of e cans 60 our regular diet,Of e cans 60 our ******* diet,"Such vital information , he said , has to be made available to the public frequently and at regular intervals for residents to know .","Such vital information , he said , has to be made available to the public frequently and at ******* intervals for residents to know .", He visits the park on a regular basis., he visits the park on a ******* basis.
easy,3_science_LS2,items that are soft and easy to chew,Items that are soft and **** to chew,"Within an easy walk from Capitol Hill where Pennsylvania Avenue comes together with Constitution Avenue , begins a series of great federal buildings , some a block long and all about seven-stories high .","Within an **** walk from capitol hill where pennsylvania avenue comes together with constitution avenue , begins a series of great federal buildings , some a block long and all about seven-stories high .",The test was easy for her.,The test was **** for her.
collect,3_science_LS2,for the presence of fat collect a few groundnut seeds,For the presence of fat ******* a few groundnut seeds,"Albert John Luthuli , awarded a Nobel prize for his South African integration struggles , has to get permission to fly to collect his honor .","Albert john luthuli , awarded a nobel prize for his south african integration struggles , has to get permission to fly to ******* his honor .",I collect stamps as a hobby.,I ******* stamps as a hobby.
eating,3_science_LS2,given by carbohydrates a ay eating too much fatrich food,Given by carbohydrates a ay ****** too much fatrich food,"In itself there is nothing wrong with this form of `` participation '' : the only difficulty on the Catholic campus is that those faculty members who are in a position to implement policy , i.e. , members of the religious community which owns and administers the institution , have their own eating arrangements .","In itself there is nothing wrong with this form of `` participation '' : the only difficulty on the catholic campus is that those faculty members who are in a position to implement policy , i.e. , members of the religious community which owns and administers the institution , have their own ****** arrangements .",Eating fruits is healthy.,****** fruits is healthy.
necessity,3_science_LS2,be able to outline the necessity of food,Be able to outline the ********* of food,"Compare this statement of a nineteenth-century judge with how Congressman Martin , according to the Daily Labor Report of Sept. 19 , 1961 , defends the necessity of enacting anti-trust legislation in the field of labor `` if we wish to prevent monopolistic fixing of wages , production or prices and if we wish to preserve the freedom of the employer and his employees to contract on wages , hours and conditions of employment '' .","Compare this statement of a nineteenth-century judge with how congressman martin , according to the daily labor report of sept. 19 , 1961 , defends the ********* of enacting anti-trust legislation in the field of labor `` if we wish to prevent monopolistic fixing of wages , production or prices and if we wish to preserve the freedom of the employer and his employees to contract on wages , hours and conditions of employment '' .", Water is a necessity for life., water is a ********* for life.
my,3_science_LS2,every state my prideg and union territory,Every state ** prideg and union territory,I'm willing to stake my political career on it '' .,I'm willing to stake ** political career on it '' .,My dog is very fluffy.,** dog is very fluffy.
known,3_science_LS2,on india is known for its incredible diversity,On india is ***** for its incredible diversity,"Liberals and conservatives in both parties -- Democratic and Republican -- should divorce themselves and form two independent parties , George H. Reama , nationally known labor-management expert , said here yesterday .","Liberals and conservatives in both parties -- democratic and republican -- should divorce themselves and form two independent parties , george h. reama , nationally ***** labor-management expert , said here yesterday .",She is known for being very fast.,She is ***** for being very fast.
thin,3_science_LS2,and cover them with a thin layer of soil,And cover them with a **** layer of soil,"The opinion continues here that with a 162-game schedule , pitching spread thin through a 10-team league and a most inviting target in Los Angeles' Wrigley Field Jr. , Mantle just might break the most glamorous record on the books , Babe Ruth's 60 homers of 1927 .","The opinion continues here that with a 162-game schedule , pitching spread **** through a 10-team league and a most inviting target in los angeles' wrigley field jr. , mantle just might break the most glamorous record on the books , babe ruth's 60 homers of 1927 .",Paper is thin.,Paper is ****.
all,3_science_LS2,the body needs all these nutrients,The body needs *** these nutrients,"`` This is one of the major items in the Fulton County general assistance program '' , the jury said , but the State Welfare Department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton County , which receives none of this money .","`` this is one of the major items in the fulton county general assistance program '' , the jury said , but the state welfare department `` has seen fit to distribute these funds through the welfare departments of *** the counties in the state with the exception of fulton county , which receives none of this money .",All the cookies are gone.,*** the cookies are gone.
process,3_science_LS2,page nummber 2 the process of obtaining food and,Page nummber 2 the ******* of obtaining food and,"`` Actually , the abuse of the process may have constituted a contempt of the Criminal court of Cook county , altho vindication of the authority of that court is not the function of this court '' , said Karns , who is a City judge in East St. Louis sitting in Cook County court .","`` actually , the abuse of the ******* may have constituted a contempt of the criminal court of cook county , altho vindication of the authority of that court is not the function of this court '' , said karns , who is a city judge in east st. louis sitting in cook county court .",Baking is a process.,Baking is a *******.
junk,3_science_LS2,the internet to know about junk food,The internet to know about **** food,And now -- more junk mail,And now -- more **** mail, We should clean up the junk., we should clean up the ****.
freshly,3_science_LS2,you can use freshly cut coriander leaves in,You can use ******* cut coriander leaves in,Today whole grains are freshly ground every day and baked into bread .,Today whole grains are ******* ground every day and baked into bread ., The bread smells freshly baked., the bread smells ******* baked.
deficient,3_science_LS2,a diet deficient in roughage ie aee,A diet ********* in roughage ie aee,But the time came when a church that had no part in the missionary movement was looked upon as deficient in its essential life .,But the time came when a church that had no part in the missionary movement was looked upon as ********* in its essential life .,The diet is deficient in vitamins.,The diet is ********* in vitamins.
incredible,3_science_LS2,india is known for its incredible diversity in food,India is known for its ********** diversity in food,"To the German pilot in the bomber the rocket became a faint black speck , hurtling through the sky at the then incredible speed of 420 m.p.h. .","To the german pilot in the bomber the rocket became a faint black speck , hurtling through the sky at the then ********** speed of 420 m.p.h. .", The view from the mountain was incredible., the view from the mountain was **********.
green,3_science_LS2,page nummber 5 fruits green leafy vegetables milk and,Page nummber 5 fruits ***** leafy vegetables milk and,Hughes supported Gov. Meyner's `` Green Acres '' plan for saving large tracts of open land from the onrush of urban development .,Hughes supported gov. meyner's `` ***** acres '' plan for saving large tracts of open land from the onrush of urban development .,I wore my green shirt.,I wore my ***** shirt.
patch,3_science_LS2,did you observe an oily patch,Did you observe an oily *****,"When he needs money to buy something like , say , the Rolls-Royce he keeps near his vegetable patch , he takes a flyer in the sale of surplus army supplies .","When he needs money to buy something like , say , the rolls-royce he keeps near his vegetable ***** , he takes a flyer in the sale of surplus army supplies .", I put a patch on my jeans., i put a ***** on my jeans.
study,3_science_LS2,aed study skills seen complete the,Aed ***** skills seen complete the,"Before adjournment Monday afternoon , the Senate is expected to approve a study of the number of legislators allotted to rural and urban areas to determine what adjustments should be made .","Before adjournment monday afternoon , the senate is expected to approve a ***** of the number of legislators allotted to rural and urban areas to determine what adjustments should be made .",I study math every day.,I ***** math every day.
observe,3_science_LS2,of the newspaper did you observe an oily patch,Of the newspaper did you ******* an oily patch,So he keeps the veteran in until he can observe the effects of treatment or surgery .,So he keeps the veteran in until he can ******* the effects of treatment or surgery .,Let's observe the ants working.,Let's ******* the ants working.
lots,3_science_LS2,shake ei b alemonade with lots of sugar minu often,Shake ei b alemonade with **** of sugar minu often,"Dr. Barnes said that there seemed to be feeling that evacuation plans , even for a high school where there were lots of cars `` might not be realistic and would not work '' .","Dr. barnes said that there seemed to be feeling that evacuation plans , even for a high school where there were **** of cars `` might not be realistic and would not work '' .", I have lots of toys., i have **** of toys.
of,3_science_LS2,fats es food we o of food eta s zz,Fats es food we o ** food eta s zz,The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,The fulton county grand jury said friday an investigation ** atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,"A cup of water, please.","A cup ** water, please."
crush,3_science_LS2,crush with the help of,***** with the help of,"He also demanded that Kennedy take additional measures to increase international tension : specifically to crush the Cuban revolution , resume nuclear testing , resist more vigorously admission of China to its lawful seat in the United Nations , and postpone non-military programs at home '' .","He also demanded that kennedy take additional measures to increase international tension : specifically to ***** the cuban revolution , resume nuclear testing , resist more vigorously admission of china to its lawful seat in the united nations , and postpone non-military programs at home '' .",I crush garlic for cooking.,I ***** garlic for cooking.
can,3_science_LS2,eating stale or rotten food can cause vomiting andor diarrhoea,Eating stale or rotten food *** cause vomiting andor diarrhoea,Pelham said Sunday night there was research being done on whether the `` quickie '' vote on the increase can be repealed outright or whether notice would have to first be given that reconsideration of the action would be sought .,Pelham said sunday night there was research being done on whether the `` quickie '' vote on the increase *** be repealed outright or whether notice would have to first be given that reconsideration of the action would be sought .,I can ride a bike.,I *** ride a bike.
he,3_science_LS2,substances present in the food he ey nutrition the process,Substances present in t** food ** ey nutrition t** process,"He will be succeeded by Ivan Allen Jr. , who became a candidate in the Sept. 13 primary after Mayor Hartsfield announced that he would not run for reelection .","** will be succeeded by ivan allen jr. , who became a candidate in t** sept. 13 primary after mayor hartsfield announced that ** would not run for reelection .",He is my brother.,** is my brot**r.
five,3_science_LS2,there are five types of nutrients present,There are **** types of nutrients present,"Five per cent of the voters in each county must sign petitions requesting that the Republicans be allowed to place names of candidates on the general election ballot , or 2","**** per cent of the voters in each county must sign petitions requesting that the republicans be allowed to place names of candidates on the general election ballot , or 2",I am five years old.,I am **** years old.
roughage,3_science_LS2,roughage ee et cn mae,******** ee et cn mae,No example sentence found.,No example sentence found.,Eating roughage is good for digestion.,Eating ******** is good for digestion.
newspaper,3_science_LS2,critical thinking page nummber 4 newspaper,Critical thinking page nummber 4 *********,"The student newspaper , The Emory Wheel , as early as the fall of 1954 called for desegregation .","The student ********* , the emory wheel , as early as the fall of 1954 called for desegregation .", Dad reads the newspaper every morning., dad reads the ********* every morning.
harmful,3_science_LS2,list the harmful effects of rotten food,List the ******* effects of rotten food,Harmful drinks,******* drinks,Smoking is harmful to health.,Smoking is ******* to health.
explain,3_science_LS2,explain the role of nutrients,******* the role of nutrients,"The United States , State Department officials explain , now is mainly interested in setting up an international inspection system which will prevent Laos from being used as a base for Communist attacks on neighboring Thailand and South Viet Nam .","The united states , state department officials ******* , now is mainly interested in setting up an international inspection system which will prevent laos from being used as a base for communist attacks on neighboring thailand and south viet nam .",Please explain the story.,Please ******* the story.
with,3_science_LS2,crush with the help of a,Crush **** the help of a,"`` This is one of the major items in the Fulton County general assistance program '' , the jury said , but the State Welfare Department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton County , which receives none of this money .","`` this is one of the major items in the fulton county general assistance program '' , the jury said , but the state welfare department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state **** the exception of fulton county , which receives none of this money .",I will go with you.,I will go **** you.
well,3_science_LS2,helps the body to function well,Helps the body to function ****,"The grand jury commented on a number of other topics , among them the Atlanta and Fulton County purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' .","The grand jury commented on a number of other topics , among them the atlanta and fulton county purchasing departments which it said `` are **** operated and follow generally accepted practices which inure to the best interest of both governments '' .",I hope you feel well.,I hope you feel ****.
mary,3_science_LS2,c mary wants to become a,C **** wants to become a,"The governor's move into the so-called `` blue law '' controversy came in the form of a letter to Miss Mary R. Grant , deputy city clerk of Central Falls .","The governor's move into the so-called `` blue law '' controversy came in the form of a letter to miss **** r. grant , deputy city clerk of central falls .", Mary is my friend., **** is my friend.
game,3_science_LS2,nina igi es be carbohydrates game proteins wy the 5,Nina igi es be carbohydrates **** proteins wy the 5,He will attend a meeting of the Republican State Central Committee Saturday in Portland and see the Washington-Oregon football game .,He will attend a meeting of the republican state central committee saturday in portland and see the washington-oregon football **** .,We played a new board game.,We played a new board ****.
own,3_science_LS2,territory of india has its own unique and distinct food,Territory of india has its *** unique and distinct food,"The other bill , by Sen. A. M. Aikin Jr. of Paris , would relieve real estate brokers , who pay their own annual licensing fee , from the $12 annual occupation license on brokers in such as stocks and bonds .","The other bill , by sen. a. m. aikin jr. of paris , would relieve real estate brokers , who pay their *** annual licensing fee , from the $12 annual occupation license on brokers in such as stocks and bonds .",I have my own room.,I have my *** room.
digestive,3_science_LS2,keep the intestines of the digestive salads are rich in,Keep the intestines of the ********* salads are rich in,"Pursuing it , he has logged 500,000 miles , suffered indescribable digestive indignities , and meticulously collected physiological data on the health and eating habits of 10,000 individuals , from Bantu tribesmen to Italian contadini .","Pursuing it , he has logged 500,000 miles , suffered indescribable ********* indignities , and meticulously collected physiological data on the health and eating habits of 10,000 individuals , from bantu tribesmen to italian contadini .",The digestive system is fascinating.,The ********* system is fascinating.
why,3_science_LS2,why should we eat different,*** should we eat different,"While details are still to be worked out , Ratcliff said he expects to tell home folks in Dallas why he thinks Berry's proposed constitutional amendment should be rejected .","While details are still to be worked out , ratcliff said he expects to tell home folks in dallas *** he thinks berry's proposed constitutional amendment should be rejected .",Why is the sky blue?,*** is the sky blue?
than,3_science_LS2,need to consume more proteins than adults,Need to consume more proteins **** adults,The petition said that the couple has not lived together as man and wife for more than a year .,The petition said that the couple has not lived together as man and wife for more **** a year .,Apples are sweeter than lemons.,Apples are sweeter **** lemons.
digested,3_science_LS2,roughage cannot be digested by the body,Roughage cannot be ******** by the body,"During its flowering in the sixth to the eighth centuries , Mahayana offered a supernatural package to the Chinese which bears no resemblance to the highly digested philosophical Zen morsels offered to the modern Western reader .","During its flowering in the sixth to the eighth centuries , mahayana offered a supernatural package to the chinese which bears no resemblance to the highly ******** philosophical zen morsels offered to the modern western reader .",Food is digested in the stomach.,Food is ******** in the stomach.
layer,3_science_LS2,cover them with a thin layer of soil,Cover them with a thin ***** of soil,"Recounting personal observations of clearance work , the Councilman cited instances of inefficient use of equipment or supplies by poorly trained workers and urged that plow blades be set so they do not leave behind a thin layer of snow which eventually freezes .","Recounting personal observations of clearance work , the councilman cited instances of inefficient use of equipment or supplies by poorly trained workers and urged that plow blades be set so they do not leave behind a thin ***** of snow which eventually freezes .",I wear a layer of clothes in winter.,I wear a ***** of clothes in winter.
ghee,3_science_LS2,i edible oils butter ghee and nuts are rich,I edible oils butter **** and nuts are rich,No example sentence found.,No example sentence found.,We use ghee in cooking.,We use **** in cooking.
form,3_science_LS2,vitamins and minerals should therefore form a part of e,Vitamins and minerals should therefore **** a part of e,"The governor's move into the so-called `` blue law '' controversy came in the form of a letter to Miss Mary R. Grant , deputy city clerk of Central Falls .","The governor's move into the so-called `` blue law '' controversy came in the **** of a letter to miss mary r. grant , deputy city clerk of central falls .",I learned to form letters.,I learned to **** letters.
remove,3_science_LS2,fruits into small pieces and remove the seeds,Fruits into small pieces and ****** the seeds,Strenuous efforts were made to remove pin pricking from administration statements .,Strenuous efforts were made to ****** pin pricking from administration statements .,Remove your hat indoors.,****** your hat indoors.
which,3_science_LS2,which is your favourite carbohydraterich,***** is your favourite carbohydraterich,"The jury further said in term-end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .","The jury further said in term-end presentments that the city executive committee , ***** had over-all charge of the election , `` deserves the praise and thanks of the city of atlanta '' for the manner in ***** the election was conducted .",Which color do you like?,***** color do you like?
sa,3_science_LS2,5 am sa so ee 2 proteins,5 am ** so ee 2 proteins,No example sentence found.,No example sentence found.,,
condition,3_science_LS2,this condition is called obesity which,This ********* is called obesity which,"A bright sun and brisk wind had the track in a fast condition for the first time this week and 8,280 St. Patty Day celebrants bet $842,617 on the well-prepared program .","A bright sun and brisk wind had the track in a fast ********* for the first time this week and 8,280 st. patty day celebrants bet $842,617 on the well-prepared program .",Keep your room in good condition.,Keep your room in good *********.
step,3_science_LS2,mango papaya banana honey method step 1 wash and cut,Mango papaya banana honey method **** 1 wash and cut,"This has been a working session of an organization that , by its very nature , can only proceed along its route step by step and without dramatic changes .","This has been a working session of an organization that , by its very nature , can only proceed along its route **** by **** and without dramatic changes .",Take one step at a time.,Take one **** at a time.
had,3_science_LS2,think about the food you had yesterday,Think about the food you *** yesterday,"The jury further said in term-end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .","The jury further said in term-end presentments that the city executive committee , which *** over-all charge of the election , `` deserves the praise and thanks of the city of atlanta '' for the manner in which the election was conducted .",I had pancakes for breakfast.,I *** pancakes for breakfast.
complete,3_science_LS2,aed study skills seen complete the flow chart to,Aed study skills seen ******** the flow chart to,The resolution urges the governor to have a complete study of the Sunday sales laws made with an eye to their revision at the next session of the legislature .,The resolution urges the governor to have a ******** study of the sunday sales laws made with an eye to their revision at the next session of the legislature .,I complete my homework every day.,I ******** my homework every day.
often,3_science_LS2,with lots of sugar minu often falls ill,With lots of sugar minu ***** falls ill,The jury said it did find that many of Georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,The jury said it did find that many of georgia's registration and election laws `` are outmoded or inadequate and ***** ambiguous '' .,I often read before bed.,I ***** read before bed.
oily,3_science_LS2,newspaper did you observe an oily patch,Newspaper did you observe an **** patch,"What was lacking was a real sense of phrase , the kind of legato singing that would have added a dimension of smoothness to what is , after all , a very oily character .","What was lacking was a real sense of phrase , the kind of legato singing that would have added a dimension of smoothness to what is , after all , a very **** character .", French fries are oily., french fries are ****.
orange,3_science_LS2,things you will need apple orange grapes mango papaya banana,Things you will need apple ****** grapes mango papaya banana,"The candidacy of Mayor James J. Sheeran of West Orange , for the Republican nomination for sheriff of Essex County , was supported today by Edward W. Roos , West Orange public safety commissioner .","The candidacy of mayor james j. sheeran of west ****** , for the republican nomination for sheriff of essex county , was supported today by edward w. roos , west ****** public safety commissioner .",I drink orange juice in the morning.,I drink ****** juice in the morning.
chew,3_science_LS2,a piece of apple and chew it till it becomes,A piece of apple and **** it till it becomes,"Or the victim could chew hard on a piece of paper , meanwhile pressing his fingers tight in his ears .","Or the victim could **** hard on a piece of paper , meanwhile pressing his fingers tight in his ears .",Chew your food slowly.,**** your food slowly.
removing,3_science_LS2,this helps in removing germs and dirt,This helps in ******** germs and dirt,"( Even granted that the Congo should be unified , you don't protect Western security by first removing the pro-Western weight from the power equilibrium .","( even granted that the congo should be unified , you don't protect western security by first ******** the pro-western weight from the power equilibrium .",She's removing the weeds from the garden.,She's ******** the weeds from the garden.
plastic,3_science_LS2,a milk carton or a plastic bottle as the pot,A milk carton or a ******* bottle as the pot,"You may have your boat of wood , canvas , plywood , plastic , or metal .","You may have your boat of wood , canvas , plywood , ******* , or metal .",This bottle is made of plastic.,This bottle is made of *******.
or,3_science_LS2,fa ath refer to books or the internet to know,Fa ath refer to books ** the internet to know,The jury said it did find that many of Georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,The jury said it did find that many of ge**gia's registration and election laws `` are outmoded ** inadequate and often ambiguous '' .,Do you want tea or coffee?,Do you want tea ** coffee?
solve,3_science_LS2,solve the clues to know,***** the clues to know,`` Must solve problem '',`` must ***** problem '',Can you solve this puzzle?,Can you ***** this puzzle?
build,3_science_LS2,3 bon proteins help to build the body,3 bon proteins help to ***** the body,"The President , in a special message to Congress , tied in with his aged care plan requests for large federal grants to finance medical and dental scholarships , build 20 new medical and 20 new dental schools , and expand child health care and general medical research .","The president , in a special message to congress , tied in with his aged care plan requests for large federal grants to finance medical and dental scholarships , ***** 20 new medical and 20 new dental schools , and expand child health care and general medical research .",We build sandcastles at the beach.,We ***** sandcastles at the beach.
night,3_science_LS2,vitamins causes diseases such as night blindness scurvy and rickets,Vitamins causes diseases such as ***** blindness scurvy and rickets,"Four additional deputies be employed at the Fulton County Jail and `` a doctor , medical intern or extern be employed for night and weekend duty at the jail '' .","Four additional deputies be employed at the fulton county jail and `` a doctor , medical intern or extern be employed for ***** and weekend duty at the jail '' .",Stars shine bright at night.,Stars shine bright at *****.
mouth,3_science_LS2,apple is left in your mouth after you swallow the,Apple is left in your ***** after you swallow the,We'll not talk out of one side of our mouth in Morris County and out of the other side in Hudson .,We'll not talk out of one side of our ***** in morris county and out of the other side in hudson .,Open your mouth to eat.,Open your ***** to eat.
eta,3_science_LS2,food we o of food eta s zz,Food we o of food *** s zz,"Statistically , the most significant data have been collected from the sensors on 1958 Alpha ( Explorer 1 ) , 1958 Delta 2 ( Sputnik 3 ) , and 1959 Eta ( Vanguard 3 ) .","Statistically , the most significant data have been collected from the sensors on 1958 alpha ( explorer 1 ) , 1958 delta 2 ( sputnik 3 ) , and 1959 *** ( vanguard 3 ) .",,
groundnut,3_science_LS2,of fat collect a few groundnut seeds a tablespoon each,Of fat collect a few ********* seeds a tablespoon each,No example sentence found.,No example sentence found.,Peanuts are also called groundnuts.,Peanuts are also called *********s.
into,3_science_LS2,and cut all the fruits into small pieces and remove,And cut all the fruits **** small pieces and remove,"The jury said it found the court `` has incorporated into its operating procedures the recommendations '' of two previous grand juries , the Atlanta Bar Association and an interim citizens committee .","The jury said it found the court `` has incorporated **** its operating procedures the recommendations '' of two previous grand juries , the atlanta bar association and an interim citizens committee .",We went into the cave.,We went **** the cave.
milk,3_science_LS2,chicken egg fish milk and pulses are rich,Chicken egg fish **** and pulses are rich,"If it's true that contented cows give more milk , why shouldn't happy ball players produce more base hits ? ?","If it's true that contented cows give more **** , why shouldn't happy ball players produce more base hits ? ?",I drink milk with cookies.,I drink **** with cookies.
since,3_science_LS2,since the amount of nutrients,***** the amount of nutrients,"Hartsfield has been mayor of Atlanta , with exception of one brief interlude , since 1937 .","Hartsfield has been mayor of atlanta , with exception of one brief interlude , ***** 1937 .",I've been waiting since morning.,I've been waiting ***** morning.
